"","x"
"651",3.773199453821e-05
"652",5.8771975063676e-05
"653",3.879296815156e-05
"654",0.000117761316849993
"655",8.5815419279251e-05
"656",3.915768122579e-05
"657",5.2489715486536e-05
"658",3.1836118512441e-05
"659",3.9123019796481e-05
"660",1.8543103781624e-05
"661",1.413538996012e-05
"662",9.81104751153e-06
"663",2.3428302071162e-05
"664",3.1149229559932e-05
"665",4.1983083952461e-05
"666",2.0354647779595e-05
"667",9.119697679372e-06
"668",1.3727237892567e-05
"669",5.1255947611785e-05
"670",2.2154510905925e-05
"671",5.3106586210651e-05
"672",1.4176760778078e-05
"673",1.1957747521435e-05
"674",1.3493191930867e-05
"675",6.977164856287e-06
"676",2.0916074205265e-05
"677",1.659130280128e-05
"678",1.3690512924638e-05
"679",1.7255794226058e-05
"680",3.0295387569957e-05
"681",2.028954583105e-05
"682",2.0865588344051e-05
"683",4.4556139328499e-05
"684",6.1454880751404e-05
"685",7.7796441476994e-05
"686",3.9247500858328e-05
"687",4.4367640393949e-05
"688",0.000164194387616644
"689",0.000174995995845534
"690",9.5904445249642e-05
"691",4.3048162157835e-05
"692",8.4632781675718e-05
"693",9.5493062865001e-05
"694",9.9573543106676e-05
"695",8.474031030129e-05
"696",7.9040534485175e-05
"697",6.2485448444309e-05
"698",9.1710127492685e-05
"699",5.6713454348868e-05
"700",7.6703364598148e-05
"701",4.8095388098512e-05
"702",0.000268046018732682
"703",3.8826275772882e-05
"704",0.000171136107442282
"705",7.7997506691973e-05
"706",6.1642877155166e-05
"707",6.1351261798173e-05
"708",4.8333478929521e-05
"709",3.8000479061469e-05
"710",3.7715725392076e-05
"711",6.9272076274443e-05
"712",5.488430434041e-05
"713",3.1199696931745e-05
"714",4.6018323030998e-05
"715",2.8593357144477e-05
"716",2.1843380521617e-05
"717",2.6463401994888e-05
"718",2.0866436266268e-05
"719",2.6263024590566e-05
"720",1.5089476892402e-05
"721",1.6305865834767e-05
"722",2.2168979938774e-05
"723",2.0652001744249e-05
"724",2.2039766503396e-05
"725",2.4243248443953e-05
"726",3.2852281512262e-05
"727",1.4415171255759e-05
"728",3.2017268748065e-05
"729",1.9809012289763e-05
"730",1.5549855177471e-05
"731",1.2872731089481e-05
"732",1.2988453550419e-05
"733",1.0475143319493e-05
"734",2.6135132180572e-05
"735",1.7944929165623e-05
"736",3.3173535011303e-05
"737",2.2580203285184e-05
"738",3.1054567438161e-05
"739",1.9727436867066e-05
"740",6.5616745309147e-05
"741",0.000132844457207331
"742",1.4992588521509e-05
"743",2.6323389734337e-05
"744",3.0326171381982e-05
"745",3.1549094558211e-05
"746",1.823955937631e-05
"747",1.7715905993706e-05
"748",3.2328243847218e-05
"749",3.0574709121933e-05
"750",3.0406035980536e-05
"751",1.0668348109335e-05
"752",2.4287278295902e-05
"753",1.8475509223116e-05
"754",2.3953449714572e-05
"755",1.2463164124045e-05
"756",1.4940714462264e-05
"757",1.5358423867929e-05
"758",3.1933729857818e-05
"759",2.2633847833355e-05
"760",3.7591942595533e-05
"761",7.1291767506318e-05
"762",2.8672527853533e-05
"763",1.470163522331e-05
"764",1.6178577229876e-05
"765",1.6313201963896e-05
"766",1.0834739561563e-05
"767",1.4667077579196e-05
"768",2.5961925087528e-05
"769",0.00010967158583858
"770",4.7249740495729e-05
"771",4.6246159933544e-05
"772",1.268305017891e-05
"773",1.9218813404e-05
"774",4.2250497e-07
"775",0.000130163594930728
"776",0.000233347713798666
"777",6.1789818131379e-05
"778",0.000256357920469075
"779",4.1779483837099e-05
"780",4.2050098351737e-05
"781",3.5746253451172e-05
"782",5.2011018168139e-05
"783",2.8844833236007e-05
"784",3.5665421787672e-05
"785",3.4545784957353e-05
"786",3.8798958583855e-05
"787",2.7417219293931e-05
"788",4.6837340704739e-05
"789",3.7725645057063e-05
"790",5.628776352607e-05
"791",9.2998102377037e-05
"792",6.9617302498593e-05
"793",0.000296102978182352
"794",0.000116599778524639
"795",0.000813672904948694
"796",0.00109938614986031
"797",0.0012800035641977
"798",0.00040963434831657
"799",0.000149798282590993
"800",0.000100239873090512
"801",0.000101494794602963
"802",5.8397268428177e-05
"803",7.3477793772336e-05
"804",0.000153963270333249
"805",6.6721275324145e-05
"806",7.6058831262115e-05
"807",5.8794457338322e-05
"808",8.300080816323e-05
"809",3.3183621558633e-05
"810",3.3000998338446e-05
"811",2.2734931619729e-05
"812",6.7346027962141e-05
"813",4.5604294012115e-05
"814",4.4076140763557e-05
"815",8.6046835677903e-05
"816",0.000128159312175697
"817",8.7878623143253e-05
"818",8.4694706253653e-05
"819",4.652039797296e-05
"820",9.0314081140325e-05
"821",6.583869278225e-05
"822",1.7261675574246e-05
"823",2.8774863106535e-05
